宜宾天原集团股份有限公司,160
黑牛食品股份有限公司,201
贵州信邦制药股份有限公司,160
北京利尔高温材料股份有限公司,164
福建星网锐捷通讯股份有限公司,223
湖南梦洁家纺股份有限公司,566
厦门市建筑科学研究院集团股份有限公司,72
深圳市海普瑞药业集团股份有限公司,0
广东省广告集团股份有限公司,0
深圳和而泰智能控制股份有限公司,503
浙江爱仕达电器股份有限公司,1920
浙江嘉欣丝绸股份有限公司,33
北京四维图新科技股份有限公司,383
广联达科技股份有限公司,14
武汉高德红外股份有限公司,72
杭州海康威视数字技术股份有限公司,1841
深圳市爱施德股份有限公司,0
福建三元达通讯股份有限公司,222
浙江康盛股份有限公司,118
天虹商场股份有限公司,0
广州毅昌科技股份有限公司,263
深圳达实智能股份有限公司,238
四川科伦药业股份有限公司,1643
贵州百灵企业集团制药股份有限公司,152
苏州胜利精密制造科技股份有限公司,204
浙江尤夫高新纤维股份有限公司,84
深圳市兆驰股份有限公司,74
杭州杭氧股份有限公司,175
天津九安医疗电子股份有限公司,215
广东太安堂药业股份有限公司,55
深圳市兴森快捷电路科技股份有限公司,544
哈尔滨誉衡药业股份有限公司,36
江苏神通阀门股份有限公司,451
启明星辰信息技术集团股份有限公司,55
龙星化工股份有限公司,47
杭州巨星科技股份有限公司,1150
佛山市国星光电股份有限公司,433
康得新复合材料集团股份有限公司,0
苏州天马精细化学品股份有限公司,61
深圳欧菲光科技股份有限公司,1828
山东益生种畜禽股份有限公司,3
广州珠江啤酒股份有限公司,106
嘉事堂药业股份有限公司,3
沪士电子股份有限公司,48
昆山金利表面材料应用科技股份有限公司,91
广州海格通信集团股份有限公司,332
二六三网络通信股份有限公司,10
申通快递股份有限公司,0
山东三维石化工程股份有限公司,98
金正大生态工程集团股份有限公司,101
福建榕基软件股份有限公司,77
立讯精密工业股份有限公司,238
雏鹰农牧集团股份有限公司,46
浙江富春江环保热电股份有限公司,121
深圳广田集团股份有限公司,20
辽宁大金重工股份有限公司,63
浙江永强集团股份有限公司,368
山东墨龙石油机械股份有限公司,86
广东佳隆食品股份有限公司,58
江苏辉丰农化股份有限公司,266
四川雅化实业集团股份有限公司,47
山西证券股份有限公司,0
北京弘高创意建筑设计股份有限公司,0
协鑫集成科技股份有限公司,202
杭州老板电器股份有限公司,396
天津汽车模具股份有限公司,221
恺英网络股份有限公司,0
深圳科士达科技股份有限公司,199
江苏银河电子股份有限公司,313
浙江众成包装材料股份有限公司,63
光正集团股份有限公司,8
山东矿机集团股份有限公司,145
上海新时达电气股份有限公司,448
深圳英飞拓科技股份有限公司,301
新界泵业集团股份有限公司,214
金杯电工股份有限公司,56
杭州锅炉集团股份有限公司,153
海联金汇科技股份有限公司,0
